FromUrl,ToUrl,LinkNumber
/wiki/Rotherham_Minster,"/wiki/Collegiate_Church_of_St_Mary,_Warwick",5
/wiki/Rotherham_Minster,/wiki/Wimborne_Minster_(church),5
/wiki/Rotherham_Minster,/wiki/St_Peter%27s_Collegiate_Church,5
/wiki/Rotherham_Minster,/wiki/Beverley_Minster,5
/wiki/Rotherham_Minster,/wiki/Bolton_Priory,5
/wiki/Rotherham_Minster,/wiki/Bridlington_Priory,5
/wiki/Rotherham_Minster,/wiki/Cartmel_Priory,5
/wiki/Rotherham_Minster,"/wiki/St_George%27s_Minster,_Doncaster",5
/wiki/Rotherham_Minster,/wiki/Halifax_Minster,5
/wiki/Rotherham_Minster,"/wiki/St_Peter%27s_Church,_Harrogate",5
/wiki/Rotherham_Minster,/wiki/Grimsby_Minster,5
/wiki/Rotherham_Minster,/wiki/Hexham_Abbey,5
/wiki/Rotherham_Minster,/wiki/Hull_Minster,5
/wiki/Rotherham_Minster,/wiki/Kendal_Parish_Church,5
/wiki/Rotherham_Minster,/wiki/Lancaster_Priory,5
/wiki/Rotherham_Minster,/wiki/Leeds_Minster,5
/wiki/Rotherham_Minster,"/wiki/Church_of_Our_Lady_and_Saint_Nicholas,_Liverpool",5
/wiki/Rotherham_Minster,"/wiki/St_Mary%27s_Church,_Nantwich",5
/wiki/Rotherham_Minster,"/wiki/Church_of_St._Mary_Magdalene,_Newark-on-Trent",5
/wiki/Rotherham_Minster,"/wiki/St_Mary%27s_Church,_Nottingham",5
/wiki/Rotherham_Minster,"/wiki/Church_of_St_Peter_and_St_Paul,_Ormskirk",5
/wiki/Rotherham_Minster,/wiki/Selby_Abbey,5
/wiki/Rotherham_Minster,"/wiki/Church_of_St_Wilfrid,_Standish",5
/wiki/Rotherham_Minster,/wiki/Sunderland_Minster,5
/wiki/Rotherham_Minster,"/wiki/Priory_Church_of_St_Mary,_Abergavenny",5
/wiki/Rotherham_Minster,"/wiki/St_John_the_Baptist_Church,_Cardiff",5
/wiki/Rotherham_Minster,"/wiki/St_Giles%27_Church,_Wrexham",5
/wiki/Rotherham_Minster,"/wiki/Church_of_St_John_the_Evangelist,_Edinburgh",5
/wiki/Rotherham_Minster,/wiki/Geographic_coordinate_system,5
/wiki/Rotherham,/wiki/United_Kingdom_Census_2011,4
/wiki/United_Kingdom_Census_2011,/wiki/General_Register_Office_for_Scotland,5
/wiki/United_Kingdom_Census_2011,/wiki/National_Records_of_Scotland,5
/wiki/United_Kingdom_Census_2011,/wiki/Census_in_the_United_Kingdom,5
/wiki/United_Kingdom_Census_2011,/wiki/Internet,5
/wiki/United_Kingdom_Census_2011,/wiki/Office_for_National_Statistics,5
/wiki/United_Kingdom_Census_2011,/wiki/England,5
/wiki/United_Kingdom_Census_2011,/wiki/Wales,5
/wiki/United_Kingdom_Census_2011,/wiki/Scotland,5
/wiki/United_Kingdom_Census_2011,/wiki/Northern_Ireland_Statistics_and_Research_Agency,5
/wiki/United_Kingdom_Census_2011,/wiki/Northern_Ireland,5
/wiki/United_Kingdom_Census_2011,/wiki/UK_Statistics_Authority,5
/wiki/United_Kingdom_Census_2011,/wiki/List_of_national_and_international_statistical_services,5
/wiki/United_Kingdom_Census_2011,/wiki/Jil_Matheson,5
/wiki/United_Kingdom_Census_2011,/wiki/Lockheed_Martin_UK,5
/wiki/United_Kingdom_Census_2011,/wiki/Census_Act_1920,5
/wiki/United_Kingdom_Census_2011,/wiki/Aerospace_manufacturer,5
/wiki/United_Kingdom_Census_2011,/wiki/Defense_(military),5
/wiki/United_Kingdom_Census_2011,/wiki/Information_security,5
/wiki/United_Kingdom_Census_2011,/wiki/Lockheed_Martin,5
/wiki/United_Kingdom_Census_2011,/wiki/PATRIOT_Act,5
/wiki/United_Kingdom_Census_2011,/wiki/Cabinet_Office,5
/wiki/United_Kingdom_Census_2011,/wiki/Stop_the_War_Coalition,5
/wiki/United_Kingdom_Census_2011,/wiki/Ekklesia_(think_tank),5
/wiki/United_Kingdom_Census_2011,/wiki/Green_Party_of_England_and_Wales,5
/wiki/United_Kingdom_Census_2011,/wiki/Liberal_Conspiracy,5
/wiki/United_Kingdom_Census_2011,"/wiki/Lancaster,_Lancashire",5
/wiki/United_Kingdom_Census_2011,/wiki/London_Borough_of_Newham,5
/wiki/United_Kingdom_Census_2011,/wiki/Isle_of_Anglesey,5
/wiki/United_Kingdom_Census_2011,/wiki/Birmingham,5
/wiki/United_Kingdom_Census_2011,/wiki/Capita_Group,5
/wiki/United_Kingdom_Census_2011,/wiki/Cameron%E2%80%93Clegg_coalition,5
/wiki/United_Kingdom_Census_2011,/wiki/Beyond_2011,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_2021,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_2001,5
/wiki/United_Kingdom_Census_2011,/wiki/Civil_Partnership_Act_2004,5
/wiki/United_Kingdom_Census_2011,/wiki/Equality_and_Human_Rights_Commission,5
/wiki/United_Kingdom_Census_2011,/wiki/Sexual_orientation,5
/wiki/United_Kingdom_Census_2011,/wiki/English_people,5
/wiki/United_Kingdom_Census_2011,/wiki/Scottish_people,5
/wiki/United_Kingdom_Census_2011,/wiki/Welsh_people,5
/wiki/United_Kingdom_Census_2011,/wiki/English_language,5
/wiki/United_Kingdom_Census_2011,/wiki/Romani_people,5
/wiki/United_Kingdom_Census_2011,/wiki/Irish_Traveller,5
/wiki/United_Kingdom_Census_2011,/wiki/British_Arabs,5
/wiki/United_Kingdom_Census_2011,/wiki/British_Chinese,5
/wiki/United_Kingdom_Census_2011,/wiki/British_Asian,5
/wiki/United_Kingdom_Census_2011,/wiki/South_Asia,5
/wiki/United_Kingdom_Census_2011,/wiki/Origami,5
/wiki/United_Kingdom_Census_2011,/wiki/Cornwall,5
/wiki/United_Kingdom_Census_2011,/wiki/Cornish_people,5
/wiki/United_Kingdom_Census_2011,/wiki/Conservative_Party_(UK),5
/wiki/United_Kingdom_Census_2011,/wiki/Privacy_law,5
/wiki/United_Kingdom_Census_2011,/wiki/Francis_Maude,5
/wiki/United_Kingdom_Census_2011,/wiki/White_British,5
/wiki/United_Kingdom_Census_2011,/wiki/Cornwall_Council,5
/wiki/United_Kingdom_Census_2011,/wiki/British_Humanist_Association,5
/wiki/United_Kingdom_Census_2011,/wiki/Leading_question,5
/wiki/United_Kingdom_Census_2011,/wiki/CACI,5
/wiki/United_Kingdom_Census_2011,/wiki/Abu_Ghraib,5
/wiki/United_Kingdom_Census_2011,/wiki/Edinburgh,5
/wiki/United_Kingdom_Census_2011,/wiki/Lewis_and_Harris,5
/wiki/United_Kingdom_Census_2011,/wiki/Scots_language,5
/wiki/United_Kingdom_Census_2011,/wiki/Scottish_Gaelic,5
/wiki/United_Kingdom_Census_2011,/wiki/Univariate,5
/wiki/United_Kingdom_Census_2011,/wiki/Comma-separated_values,5
/wiki/United_Kingdom_Census_2011,/wiki/Office_of_Public_Sector_Information,5
/wiki/United_Kingdom_Census_2011,/wiki/The_Independent,5
/wiki/United_Kingdom_Census_2011,/wiki/Pink_News,5
/wiki/United_Kingdom_Census_2011,/wiki/BBC_News,5
/wiki/United_Kingdom_Census_2011,/wiki/Daily_Express,5
/wiki/United_Kingdom_Census_2011,/wiki/List_of_United_Kingdom_censuses,5
/wiki/United_Kingdom_Census_2011,/wiki/Census_Act_1800#Administration_of_the_1801_census,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1841,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1851,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1861,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1871,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1881,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1891,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1901,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1911,5
/wiki/United_Kingdom_Census_2011,"/wiki/Census_of_Ireland,_1911",5
/wiki/United_Kingdom_Census_2011,/wiki/National_Registration_Act_1939,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1921,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1931,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1951,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1961,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1966,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1971,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1981,5
/wiki/United_Kingdom_Census_2011,/wiki/United_Kingdom_Census_1991,5
/wiki/United_Kingdom_Census_2011,/wiki/Census_Act_1800,5
/wiki/United_Kingdom_Census_2011,/wiki/Census_(Great_Britain)_Act_1900,5
/wiki/United_Kingdom_Census_2011,/wiki/Census_Act_(Northern_Ireland)_1969,5
/wiki/United_Kingdom_Census_2011,/wiki/Census_(Confidentiality)_Act_1991,5
/wiki/United_Kingdom_Census_2011,/wiki/Census_(Amendment)_Act_2000,5
/wiki/United_Kingdom_Census_2011,/wiki/Annual_Population_Survey,5
/wiki/United_Kingdom_Census_2011,/wiki/Census_Enumerators%27_Books,5
/wiki/United_Kingdom_Census_2011,/wiki/UK_Data_Service,5
/wiki/Rotherham,/wiki/Districts_of_England,4
/wiki/Districts_of_England,/wiki/Metropolitan_and_non-metropolitan_counties_of_England,5
/wiki/Districts_of_England,/wiki/Local_Government_Act_1972,5
/wiki/Districts_of_England,/wiki/London_Government_Act_1963,5
/wiki/Districts_of_England,/wiki/List_of_English_districts,5
/wiki/Districts_of_England,/wiki/Metropolitan_borough,5
/wiki/Districts_of_England,/wiki/Non-metropolitan_district,5
/wiki/Districts_of_England,/wiki/Unitary_authorities_of_England,5
/wiki/Districts_of_England,/wiki/London_boroughs,5
/wiki/Districts_of_England,/wiki/City_status_in_the_United_Kingdom,5
/wiki/Districts_of_England,/wiki/Royal_borough,5
/wiki/Districts_of_England,/wiki/Borough_status_in_England_and_Wales,5
/wiki/Districts_of_England,/wiki/Subdivisions_of_England,5
/wiki/Districts_of_England,/wiki/Local_government,5
/wiki/Districts_of_England,/wiki/City_of_London,5
/wiki/Districts_of_England,/wiki/Isles_of_Scilly,5
/wiki/Districts_of_England,/wiki/Borough,5
/wiki/Districts_of_England,/wiki/Mayors_in_England,5
/wiki/Districts_of_England,/wiki/Local_government_in_the_United_Kingdom,5
/wiki/Districts_of_England,/wiki/Elected_mayors_in_the_United_Kingdom,5
/wiki/Districts_of_England,/wiki/Vestry#Vestry_committees_in_England_and_Wales,5
/wiki/Districts_of_England,/wiki/Secular,5
/wiki/Districts_of_England,/wiki/Hundred_(county_subdivision),5
/wiki/Districts_of_England,/wiki/Judicial,5
/wiki/Districts_of_England,/wiki/County_towns,5
/wiki/Districts_of_England,/wiki/Poor_Law_Union,5
/wiki/Districts_of_England,/wiki/English_Poor_Laws,5
/wiki/Districts_of_England,/wiki/Registration_district,5
/wiki/Districts_of_England,/wiki/Sanitary_district,5
/wiki/Districts_of_England,/wiki/Local_Government_Act_1894,5
/wiki/Districts_of_England,/wiki/Urban_district_(Great_Britain_and_Ireland),5
/wiki/Districts_of_England,/wiki/Rural_district,5
/wiki/Districts_of_England,/wiki/Administrative_county,5
/wiki/Districts_of_England,/wiki/County_of_London,5
/wiki/Districts_of_England,/wiki/Civil_parish,5
/wiki/Districts_of_England,/wiki/Shire_counties,5
/wiki/Districts_of_England,/wiki/Greater_London_Council,5
/wiki/Districts_of_England,/wiki/Greater_London_Authority,5
/wiki/Districts_of_England,/wiki/Unitary_authorities_in_England,5
/wiki/Districts_of_England,/wiki/Metropolitan_county,5
/wiki/Districts_of_England,/wiki/County_council,5
/wiki/Districts_of_England,/wiki/Shire_county,5
/wiki/Districts_of_England,/wiki/Council_house,5
/wiki/Districts_of_England,/wiki/Rutland,5
/wiki/Districts_of_England,/wiki/Herefordshire,5
/wiki/Districts_of_England,/wiki/Isle_of_Wight,5
/wiki/Districts_of_England,/wiki/Berkshire,5
/wiki/Districts_of_England,/wiki/County_Durham,5
/wiki/Districts_of_England,/wiki/Northumberland,5
/wiki/Districts_of_England,/wiki/Shropshire,5
/wiki/Districts_of_England,/wiki/Wiltshire,5
/wiki/Districts_of_England,/wiki/Greater_London,5
/wiki/Districts_of_England,/wiki/List_of_English_districts_by_population,5
